message;severity;node;stamp;location
"left: 56637; right: 56637";"20";"tug_turtlebot4.simple_turtle";"1733487439.562562081";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 57522; right: 57522";"20";"tug_turtlebot4.simple_turtle";"1733487439.355795389";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 57554; right: 57554";"20";"tug_turtlebot4.simple_turtle";"1733487439.350082157";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 57633; right: 57633";"20";"tug_turtlebot4.simple_turtle";"1733487439.330386544";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 62596; right: 62596";"20";"tug_turtlebot4.simple_turtle";"1733487438.149656930";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487437.401655619";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487437.255296291";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487437.084561863";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487437.081253556";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487436.319421375";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487436.278160218";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487436.268141423";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487436.056374758";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487435.944828023";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487435.754984787";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487435.748338758";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487435.729736819";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487435.725295634";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487435.720044298";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487433.949423566";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487433.808068662";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487433.804714926";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487433.638511205";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487433.634369981";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487432.855313307";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487432.841854534";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487432.647379234";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487432.547439259";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487432.369370631";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487432.354401757";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487432.348256342";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487432.335626998";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487432.321739122";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487430.458644698";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487430.307429380";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487430.124368025";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487429.659888096";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487429.276617900";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487429.222737260";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487429.220670595";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487429.217245487";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487428.689426858";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487428.671227498";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487428.666208072";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487428.661066150";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487428.658526660";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487428.651192565";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
"left: 0; right: 0";"20";"tug_turtlebot4.simple_turtle";"1733487428.632797131";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:wheelEncoderCallback:80"
